Reference,Publication year,Ecosystem component (detailed),Ecosystem component (simplified),Thema (detailed),Thema (simplified),Trait label (original),Trait label (standardised),
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Mobility,Behaviour,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Movement method,Behaviour,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Mean size,Body size,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Environmental position,Burrowing depth,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Larval type,Early development,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Sediment transportation,Engineering,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Body design,Morph./Anat./Phys.,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Resource capture method,Morph./Anat./Phys.,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Living habit,Motility,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Feeding habit,Trophy,
